Provincia,Balance,Ganancias,Gastos
Azua,-99393817,319106498,418500315
Bahoruco,990835,136265446,135274611
Barahona,13270458,299437465,286167007
Dajabon,16836132,131281375,114445243
Distrito-Nacional,27837096.34,2854508381,2826671285
Duarte,50193232,461596944,411403712
El-Seybo,40880486,135231185,94350699
Espaillat,-59054113,392031690,451085803
Hato-Mayor,34743107,132657974,97914867
Independencia,9836473,130300768,120464295
La-Altagracia,34596834,428090242,393493408
La-Estrelleta,3010651,121554611,118543960
La-Romana,148060883,436126860,288065977
La-Vega,-98895755,581861382,680757137
Maria-Trinidad-Sanchez,34862380,219672996,184810616
Monsenor-Nouel,-7636973,257246505,264883478
Monte-Cristi,10478909,163238718,152759809
Monte-Plata,56874300,264301801,207427501
Pedernales,2182065,18824773,16642708
Peravia,-7190601,299287179,306477780
Puerto-Plata,-42009366,661360968,703370334
Salcedo,-4436012,54255509,58691521
Samana,-23635043,71773187,95408230
San-Cristobal,31681335,891471241,859789906
San-Jose-de-Ocoa,5345271,109016045,103670774
San-Juan,914133,348877712,347963579
San-Pedro-de-Macoris,-17811846,377962273,395774119
Sanchez-Ramirez,72361967,264785163,192423196
Santiago,32341486,1853276558,1820935072
Santiago-Rodriguez,4975532,103020082,98044550
Santo-Domingo,-557501087,2935873767,3493374854
Valverde,1926337,262415056,260488719
