Provincia,Basica Abandono,Basica Promovidos,Docentes Femeninas,Docentes Masculinos,Estudiantes Inicio Año,Inicial Abandono,Inicial Promovidos,Media Abandono,Media Promovidos,Tasa Neta Cobertura Basica,Tasa Neta Cobertura Inicial,Tasa Neta Cobertura Media
Azua,0.04,0.863,1402,576,62131,0.024,0.976,0.045,0.877,0.905,0.287,0.455
Bahoruco,0.067,0.801,797,430,31736,0.044,0.956,0.056,0.82,0.929,0.256,0.369
Barahona,0.078,0.819,1454,684,60396,0.05,0.95,0.077,0.826,0.958,0.283,0.459
Dajabon,0.023,0.868,479,191,18039,0.019,0.981,0.044,0.858,0.856,0.313,0.549
Distrito-Nacional,0.024,0.935,3825,1455,244581,0.027,0.973,0.044,0.88,0.914,0.508,0.671
Duarte,0.021,0.88,2322,715,75585,0.015,0.985,0.069,0.826,0.864,0.361,0.587
El-Seybo,0.058,0.798,512,197,24169,0.038,0.962,0.07,0.811,0.927,0.302,0.309
Espaillat,0.025,0.885,1104,495,56575,0.018,0.982,0.081,0.749,0.857,0.36,0.546
Hato-Mayor,0.042,0.857,612,242,24909,0.022,0.978,0.062,0.871,0.93,0.284,0.466
Independencia,0.054,0.843,517,199,15675,0.036,0.964,0.061,0.821,0.864,0.248,0.421
La-Altagracia,0.046,0.868,757,282,68420,0.034,0.966,0.062,0.772,0.925,0.352,0.449
La-Estrelleta,0.07,0.802,380,301,20928,0.065,0.935,0.039,0.847,0.927,0.22,0.348
La-Romana,0.052,0.882,745,218,73973,0.045,0.955,0.043,0.868,0.902,0.455,0.484
La-Vega,0.029,0.879,1993,774,103846,0.03,0.97,0.091,0.787,0.892,0.368,0.53
Maria-Trinidad-Sanchez,0.026,0.89,982,470,35353,0.03,0.97,0.066,0.846,0.84,0.293,0.524
Monsenor-Nouel,0.028,0.895,1227,393,50064,0.03,0.97,0.068,0.854,0.9,0.402,0.615
Monte-Cristi,0.02,0.899,681,223,25003,0.036,0.964,0.076,0.818,0.835,0.275,0.504
Monte-Plata,0.033,0.858,1686,729,56763,0.027,0.973,0.03,0.919,0.911,0.258,0.485
Pedernales,0.089,0.813,116,73,7242,0.076,0.924,0.1,0.841,0.72,0.209,0.31
Peravia,0.028,0.853,761,215,51798,0.021,0.979,0.088,0.812,0.883,0.313,0.444
Puerto-Plata,0.022,0.904,1627,713,85855,0.028,0.972,0.046,0.834,0.9,0.401,0.565
Salcedo,0.011,0.903,958,396,23644,0.016,0.984,0.035,0.835,0.899,0.379,0.606
Samana,0.032,0.882,608,231,28477,0.045,0.955,0.076,0.845,0.929,0.293,0.534
San-Cristobal,0.029,0.889,2960,980,188143,0.036,0.964,0.065,0.821,0.963,0.364,0.543
San-Jose-de-Ocoa,0.039,0.873,416,261,15626,0.021,0.979,0.031,0.876,0.891,0.269,0.493
San-Juan,0.064,0.847,1897,974,72535,0.052,0.948,0.073,0.835,0.955,0.329,0.461
San-Pedro-de-Macoris,0.032,0.896,1344,477,92468,0.039,0.961,0.057,0.843,0.977,0.399,0.559
Sanchez-Ramirez,0.026,0.879,1642,632,40867,0.032,0.968,0.043,0.851,0.857,0.316,0.514
Santiago,0.02,0.899,3624,1683,255971,0.021,0.979,0.054,0.812,0.935,0.393,0.574
Santiago-Rodriguez,0.017,0.906,455,236,13831,0.031,0.969,0.04,0.828,0.862,0.297,0.554
Santo-Domingo,0.023,0.936,8194,2305,659391,0.028,0.972,0.044,0.888,0.87,0.44,0.518
Valverde,0.027,0.873,1017,387,41350,0.025,0.975,0.032,0.804,0.856,0.322,0.538
